,cost,numRoom,NameRoom,square,squareKitchen,floor,repair,warmFloor,SellingMethod,ceilingHeight,livingSpace,Appliances,Balcony,Furniture,Toilet,TransactionType,TypeRoom,name,district,districtName,typeHome,yearBuilding,floorInHome,passengerElevator,freightElevator,nameHome,frame,officialDeveloper,participationType,deadLine,inHome,parking,yard
0,2999999,3,3,79.4,10.0,2,Косметический,Нет,Свободная,3.0,53.1,Водонагреватель,,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермский муниципальный округ, пос. Сокол, 2",,,,,,,,,,,,,,,
1,2850000,1,1,21.0,5.0,22,Косметический,Нет,Свободная,,9.0,,Балкон,,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Буксирная ул., 10",4.0,р-н Кировский,Монолитно-кирпичный,2021,26.0,2,1,,,,,,,,
2,2650000,0,Студия,22.0,,10,Евро,,Свободная,2.5,21.0,,Балкон,Кухня,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Буксирная ул., 10",4.0,р-н Кировский,Монолитно-кирпичный,2021,26.0,2,1,,,,,,,,
3,2650000,0,Студия,21.0,,2,Евро,,Свободная,,,,Лоджия,Кухня,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Буксирная ул., 10",4.0,р-н Кировский,Монолитно-кирпичный,2021,26.0,2,1,,,,,,,,
4,4000000,1,1,40.0,9.0,7,Косметический,Нет,Свободная,,,Плита,Балкон,Кухня,Раздельный,Возможна ипотека,,"Пермский край, Пермь, Вагонная ул., 29",5.0,р-н Дзержинский,Панельный,2008,9.0,1,,,,,,,,,
5,3350000,1,1,39.0,9.0,6,Косметический,,Свободная,2.7,18.0,,Лоджия,"Кухня,Хранение одежды",Раздельный,Возможна ипотека,,"Пермский край, Пермь, Вагонная ул., 29",5.0,р-н Дзержинский,Панельный,2008,9.0,1,,,,,,,,,
6,2300000,2,2,30.0,6.0,5,Косметический,Нет,Свободная,,,,Балкон,,Совмещенный,,Изолированные,"Пермский край, Пермь, Гайвинская ул., 62",,,,,,,,,,,,,,,
7,5999999,2,2,54.2,15.0,2,Евро,,Свободная,,,,Лоджия,Кухня,Совмещенный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Екатерининская ул., 61",2.0,р-н Ленинский,Кирпичный,,7.0,,,,,,,,,,
8,5999999,1,1,54.2,15.0,2,Евро,Нет,Свободная,,,Кондиционер,Лоджия,Кухня,Совмещенный,Возможна ипотека,,"Пермский край, Пермь, Екатерининская ул., 61",2.0,р-н Ленинский,Кирпичный,,7.0,,,,,,,,,,
9,4000000,2,2,57.0,9.0,7,Евро,Нет,,,48.0,,Лоджия,"Кухня,Хранение одежды",Раздельный,,Изолированные,"Пермский край, Пермь, Заречная ул., 162",,,,,,,,,,,,,,,
10,5400000,3,3,63.7,7.7,5,Косметический,Да,Альтернативная,3.0,41.8,,Балкон,,Совмещенный,,Изолированные,"Пермский край, Пермь, Комсомольский пр-т, 80",,,,,,,,,,,,,,,
11,3200000,3,3,65.7,9.2,1,Косметический,Нет,Свободная,2.5,38.1,Водонагреватель,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Краснослудская ул., 8",6.0,р-н Орджоникидзевский,Панельный,1998,9.0,1,,,,,,,,,
12,3700000,3,3,64.7,9.2,8,Косметический,,Свободная,2.5,38.0,,Лоджия,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Краснослудская ул., 8",6.0,р-н Орджоникидзевский,Панельный,1998,9.0,1,,,,,,,,,
13,3100000,2,2,49.8,29.1,3,Косметический,,Свободная,,8.3,,Балкон,,Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Краснослудская ул., 8",6.0,р-н Орджоникидзевский,Панельный,1998,9.0,1,,,,,,,,,
14,3000000,2,2,46.7,6.3,1,Дизайнерский,Да,Свободная,2.5,32.4,Водонагреватель,Балкон,"Кухня,Хранение одежды",Совмещенный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Молдавская ул., 16",,,,,,,,,,,,,,,
15,5900000,3,3,67.7,8.9,6,Евро,Есть,Свободная,2.7,44.2,,Балкон,"Кухня,Хранение одежды",Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Нейвинская ул., 14",3.0,р-н Свердловский,Панельный,,9.0,1,нет,,,,,,,,
16,3480000,1,1,33.8,10.0,4,Евро,Нет,Свободная,2.7,19.0,,Балкон,Кухня,Раздельный,,,"Пермский край, Пермь, Нейвинская ул., 14",3.0,р-н Свердловский,Панельный,,9.0,1,нет,,,,,,,,
17,4700000,3,3,61.0,8.3,7,Косметический,,Свободная,2.5,37.8,,Балкон,"Кухня,Хранение одежды",Раздельный,Возможна ипотека,Изолированные,"Пермский край, Пермь, Нейвинская ул., 14",3.0,р-н Свердловский,Панельный,,9.0,1,нет,,,,,,,,
